rank,name,province,type,总分,科学研究,人才培养,综合声誉
1,北京大学,北京,综合,100,100,100,100
2,清华大学,北京,理工,97.8,98.71,96.61,99.26
3,上海交通大学,上海,综合,81.08,85.89,78.26,73.66
4,复旦大学,上海,综合,80.92,81.54,81.44,76.23
5,武汉大学,湖北,综合,80.72,82.83,79.41,77.86
6,浙江大学,浙江,综合,80.45,83.41,78.34,77.54
7,中国人民大学,北京,综合,78.71,74.99,81.16,83.38
8,南京大学,江苏,综合,78.3,78.29,78.8,76.14
9,吉林大学,吉林,综合,76.03,77.15,76.37,69.97
10,中山大学,广东,综合,75.33,77.28,73.87,73.72
11,北京师范大学,北京,师范,74.35,74.66,74.34,73.11
12,华中科技大学,湖北,理工,74.27,75.99,73.16,72.01
13,四川大学,四川,综合,74.05,75.42,73.48,70.92
14,中国科学技术大学,安徽,理工,72.98,74.17,72.47,70.41
15,南开大学,天津,综合,72.67,72.79,72.86,71.35
16,山东大学,山东,综合,72.58,72.57,72.92,71.14
17,中南大学,湖南,综合,72.28,73.2,71.6,71.53
18,西安交通大学,陕西,综合,72.13,72.28,72.43,70.25
19,厦门大学,福建,综合,71.66,71.95,71.08,73.01
20,哈尔滨工业大学,黑龙江,理工,71.59,71.41,72.04,70.41
21,北京航空航天大学,北京,理工,70.65,72.08,69.37,70.38
22,同济大学,上海,理工,70.14,70,69.81,72.16
23,天津大学,天津,理工,70.03,69.99,69.98,70.45
24,华东师范大学,上海,师范,69.9,69.81,69.84,70.58
25,东南大学,江苏,综合,69.69,69.33,69.88,70.32
26,中国农业大学,北京,农林,68.46,67.36,68.99,70.64
27,华南理工大学,广东,理工,68.38,67.48,68.32,72.34
28,湖南大学,湖南,综合,67.92,67.09,68.35,69.48
29,西北工业大学,陕西,理工,67.82,67.71,67.43,69.95
30,大连理工大学,辽宁,理工,67.81,66.84,68.49,68.87
31,北京协和医学院,北京,医药,67.58,68.23,66.67,68.87
32,北京理工大学,北京,理工,67.33,66.28,67.77,69.76
33,重庆大学,重庆,综合,67.26,66.1,67.66,70.27
34,东北大学,辽宁,理工,67,65.62,67.66,69.79
35,中国矿业大学,江苏/北京,理工,66.79,66.46,66.59,68.99
36,华中师范大学,湖北,师范,66.72,66.3,66.82,68.05
37,西北大学,陕西,综合,66.67,66.49,66.81,66.85
38,兰州大学,甘肃,综合,66.62,64.62,67.92,69.2
39,北京科技大学,北京,理工,66.45,64.75,67.43,69.15
40,东北师范大学,吉林,师范,66.34,64.99,67,69.03
41,华东理工大学,上海,理工,66.08,65.54,65.98,68.71
42,电子科技大学,四川,理工,65.89,64.84,66.12,69.2
43,长安大学,陕西,理工,65.84,65.76,66.02,65.36
44,中国地质大学,湖北/北京,理工,65.81,64.19,66.62,68.99
44,华中农业大学,湖北,农林,65.81,65.09,66.16,67.23
46,北京交通大学,北京,理工,65.44,64.11,65.76,69.48
47,南京农业大学,江苏,农林,65.37,63.65,66.21,68.71
48,中国海洋大学,山东,综合,65.24,64.07,65.88,67.23
49,南京理工大学,江苏,理工,65.22,64.1,65.46,68.71
50,武汉理工大学,湖北,理工,65.15,64.13,65.64,67.23
50,西南大学,重庆,综合,65.15,63.15,66.45,67.72
52,苏州大学,江苏,综合,65.14,64.71,65.56,65.09
52,西北农林科技大学,陕西,农林,65.14,64.01,65.79,66.9
54,南京师范大学,江苏,师范,65.1,63.66,66.44,65.21
54,中国石油大学,山东/北京,理工,65.1,63.43,65.8,68.87
56,云南大学,云南,综合,65.06,63.69,65.82,67.34
57,哈尔滨工程大学,黑龙江,理工,64.9,64.33,64.6,68.54
58,南京航空航天大学,江苏,理工,64.85,63.16,65.44,69.22
58,河海大学,江苏,理工,64.85,63.45,65.27,68.71
60,湖南师范大学,湖南,师范,64.75,62.99,65.99,66.57
61,西南交通大学,四川,理工,64.73,62.4,66.02,68.71
62,暨南大学,广东,综合,64.67,63.64,65.34,66
63,北京化工大学,北京,理工,64.57,63.86,64.71,66.9
64,郑州大学,河南,综合,64.55,62.46,66.21,65.91
65,西安电子科技大学,陕西,理工,64.5,63.28,65.26,66.19
66,北京林业大学,北京,林业,64.48,62.66,65.14,69.05
67,中国政法大学,北京,政法,64.35,61.76,65.48,70.04
68,合肥工业大学,安徽,理工,64.31,62.59,65.28,67.18
69,北京邮电大学,北京,理工,64.26,63.55,64.36,66.74
70,华南师范大学,广东,师范,64.09,62.42,65.4,65.21
71,陕西师范大学,陕西,师范,64.06,62.67,65.56,63.24
72,中南财经政法大学,湖北,财经,64.04,62.22,65.48,65.21
73,上海大学,上海,综合,64.03,62.43,65.27,65.26
74,上海财经大学,上海,财经,64.02,62.29,64.75,67.89
75,山西大学,山西,综合,64.01,62.96,65.25,62.96
76,北京工业大学,北京,理工,63.97,62.86,64.83,64.76
77,福州大学,福建,理工,63.96,62.54,64.62,66.9
78,南昌大学,江西,综合,63.94,62.39,64.66,67.13
79,首都医科大学,北京,医药,63.93,64.1,64.52,60.66
80,中央民族大学,北京,民族,63.87,61.78,65.08,67.23
81,江南大学,江苏,综合,63.78,62.38,64.34,67.06
82,东华大学,上海,理工,63.71,62.22,64.84,64.88
83,辽宁大学,辽宁,综合,63.61,61.75,65.14,64.6
84,华南农业大学,广东,农林,63.52,62.87,64.81,60.66
85,太原理工大学,山西,理工,63.48,62.19,64.39,64.78
86,首都师范大学,北京,师范,63.47,62.44,65.06,60.82
86,新疆大学,新疆,综合,63.47,61.53,64.52,66.9
88,安徽大学,安徽,综合,63.46,61.84,64.68,64.76
89,河南大学,河南,综合,63.44,62.12,65.01,62.04
89,海南大学,海南,综合,63.44,62.32,63.62,67.23
91,华北电力大学,北京,理工,63.43,62.45,64.13,64.44
92,东北林业大学,黑龙江,林业,63.42,61.9,64.67,64.27
93,浙江工业大学,浙江,理工,63.41,63.11,64.29,60.84
93,福建师范大学,福建,师范,63.41,62.6,64.81,60.66
95,内蒙古大学,内蒙古,综合,63.4,61.87,64.41,65.26
95,中央财经大学,北京,财经,63.4,60.88,64.26,69.99
97,西南财经大学,四川,财经,63.39,61.3,64.97,65.04
98,深圳大学,广东,综合,63.37,62.49,64.15,63.63
99,广西大学,广西,综合,63.35,61.77,64.36,65.42
100,贵州大学,贵州,综合,63.34,61.88,64.23,65.42
