排名	校名	总得分	研究生培养	本科生培养	自然科学研究	社会科学研究	province	type
1	北京大学	205.71	62.12	30.04	74.83	38.72	京	综合
2	浙江大学	202.25	61.4	25.88	98.45	16.52	浙	综合
3	清华大学	195.9	57.61	31.12	87.57	19.61	京	理工
4	上海交通大学	151.82	45.41	22.17	75.7	8.55	沪	综合
5	复旦大学	140.03	42.23	18.86	56.09	22.85	沪	综合
6	南京大学	125.67	36.94	20.44	43.79	24.49	苏	综合
7	武汉大学	112.17	31.95	23.08	33.75	23.39	鄂	综合
8	四川大学	111.23	32.94	19.7	45.99	12.6	川	综合
9	中山大学	107.09	31.51	17.28	42.68	15.63	粤	综合
10	山东大学	105.88	30.26	19.75	43.14	12.74	鲁	综合
11	华中科技大学	102.11	30.44	18.28	42.68	10.71	鄂	理工
12	哈尔滨工业大学	91.12	27.47	15.56	45.31	2.78	黑	理工
13	吉林大学	90.93	26.67	19.29	33.66	11.31	吉	综合
14	南开大学	84.87	24.66	15.06	25.76	19.4	津	综合
15	西安交通大学	80.54	23.01	17.01	32.12	8.4	陕	综合
16	中国科学技术大学	79.28	25.01	10.77	41.24	2.26	皖	理工
17	东南大学	78.76	22.13	17.2	33.41	6.03	苏	综合
18	中南大学	77.5	22.68	16.07	33.59	5.16	湘	综合
19	中国人民大学	72.98	20.34	16.75	3.12	32.76	京	综合
20	厦门大学	69.89	19.73	15.05	21.13	13.98	闽	综合
21	华南理工大学	69.62	19.77	13.79	31.64	4.42	粤	理工
22	同济大学	68.98	19.69	15.63	29.93	3.73	沪	理工
23	大连理工大学	66.8	19.35	13.56	29.93	3.96	辽	理工
24	天津大学	66.71	18.93	14.34	29.93	3.51	津	理工
25	北京师范大学	64.98	17.93	15.67	14.43	16.95	京	师范
26	北京航空航天大学	63.7	18.89	11.83	29.58	3.4	京	理工
27	重庆大学	58.76	16.91	12.7	22.41	6.75	渝	综合
28	兰州大学	55.9	16.48	9.75	25.18	4.49	甘	综合
29	西北工业大学	52.52	14.41	13.1	23.6	1.42	陕	理工
30	北京理工大学	50.23	14.13	10.67	23.57	1.86	京	理工
31	中国农业大学	50.01	14.42	8.39	24.03	3.17	京	农业
32	苏州大学	50	14.6	9.47	20.86	5.07	苏	综合
33	华东师范大学	49.46	13.93	11.67	12.87	10.99	沪	师范
34	湖南大学	49.17	14.55	10.7	17.36	6.56	湘	综合
35	华东理工大学	49.08	14.05	9.2	24.15	1.68	沪	理工
36	南京航空航天大学	42.38	11.93	9.33	17.9	3.22	苏	理工
37	郑州大学	39.67	9.57	15.66	11.03	3.41	豫	综合
38	华中师范大学	38.87	11.21	9.44	6.43	11.79	鄂	师范
39	南京农业大学	38.76	11.08	7.88	15.97	3.84	苏	农业
40	电子科技大学	37.82	10.85	9.92	15	2.05	川	理工
41	西南大学	37.73	10.29	10.8	10.4	6.24	渝	综合
42	东北大学	37.54	9.41	11.65	13.77	2.7	辽	理工
43	武汉理工大学	37.2	10.17	11.79	12.98	2.26	鄂	理工
44	上海大学	37	10.75	7.74	13.03	5.48	沪	综合
45	江南大学	36.19	9.38	9	15.98	1.83	苏	综合
46	南京理工大学	33.67	8.94	9.06	14.53	1.14	苏	理工
47	华中农业大学	33.54	8.2	10.86	11.95	2.54	鄂	农业
48	西安电子科技大学	33.09	9.41	8.87	14.01	0.8	陕	理工
49	东北师范大学	32.87	9.93	7.22	9.21	6.52	吉	师范
50	西南交通大学	32.67	8.13	13.06	9.29	2.2	川	理工
51	暨南大学	32.21	9.48	6.93	7.14	8.67	粤	综合
52	南京师范大学	32.21	9.06	8.62	6.33	8.2	苏	师范
53	北京化工大学	31.91	8.47	7.97	14.91	0.56	京	理工
54	西北农林科技大学	31.88	8.78	7.43	13.83	1.84	陕	农业
55	江苏大学	31.82	8.86	7.26	13.48	2.22	苏	综合
56	北京科技大学	29.83	8.72	7.04	12.65	1.42	京	理工
57	华南师范大学	29.51	7.99	8.33	7.54	5.66	粤	师范
58	北京交通大学	28.93	6.83	11.68	8.01	2.41	京	理工
59	哈尔滨工程大学	28.6	7.83	7.59	11.88	1.29	黑	理工
60	东华大学	28.57	7.88	7.21	12.46	1.02	沪	理工
61	首都医科大学	27.86	7.49	6.57	13.37	0.43	京	医药
62	西北大学	27.55	7.09	8.61	6.84	5.02	陕	综合
63	浙江工业大学	25.88	6.81	7.13	10.41	1.54	浙	理工
64	中国海洋大学	25.86	7.4	6.53	10.47	1.47	鲁	综合
65	河海大学	25.78	7.24	7.95	8.49	2.1	苏	理工
66	陕西师范大学	25.6	7.43	6.44	6.13	5.6	陕	师范
67	北京工业大学	25.24	6.97	6.73	10.14	1.4	京	理工
68	南昌大学	25.22	6.28	9.45	7.56	1.94	赣	综合
69	河南大学	24.74	6.26	8.26	5.62	4.6	豫	综合
70	南京工业大学	24.05	6.44	5.76	10.97	0.88	苏	理工
71	扬州大学	23.69	5.96	7.28	7.97	2.48	苏	综合
72	福州大学	23.22	6.38	6.01	9.36	1.47	闽	理工
73	合肥工业大学	22.58	5.84	8.42	7.12	1.19	皖	理工
74	湖南师范大学	22.07	6.09	6.97	3.88	5.13	湘	综合
75	中国矿业大学	22.06	5.88	6.99	7.44	1.76	苏	理工
76	北京邮电大学	22.05	6.43	6.66	7.83	1.14	京	理工
77	华南农业大学	21.52	4.69	8.4	6.56	1.87	粤	农林
78	华北电力大学	21.42	5.71	6.56	7.87	1.28	京	理工
79	燕山大学	20.32	5.94	4.77	8.06	1.56	冀	理工
80	浙江师范大学	20.21	5.06	5.5	5.06	4.58	浙	师范
81	湘潭大学	19.42	5.2	6.08	5.55	2.59	湘	综合
82	云南大学	19.27	5.19	6.73	4.16	3.2	云	综合
83	南京医科大学	19.13	5.15	4.86	8.79	0.33	苏	医药
84	上海财经大学	19.13	4.86	6.63	0.25	7.39	沪	财经
85	山西大学	19.1	5.05	5.77	4.2	4.08	晋	综合
86	中南财经政法大学	18.76	4.99	7.01	0.21	6.55	鄂	财经
87	中国地质大学(武汉)	18.56	4.68	6.75	6.21	0.92	鄂	理工
88	首都师范大学	18.29	4.79	6.1	2.65	4.75	京	师范
89	黑龙江大学	18.22	4.22	6.85	2.7	4.45	黑	综合
90	宁波大学	18.18	4.4	5.52	5.52	2.74	浙	综合
91	福建师范大学	18.14	4.77	5.84	2.77	4.76	闽	师范
92	上海师范大学	18.07	5.01	4.43	3.51	5.11	沪	师范
93	河北大学	17.94	5.3	4.22	4.88	3.54	冀	综合
94	广西大学	17.47	4.55	6.44	4.85	1.64	桂	综合
95	青岛大学	17.37	3.94	7.25	4.98	1.2	鲁	综合
96	中国药科大学	17.32	4.17	5.62	7.22	0.32	苏	医药
97	昆明理工大学	17.18	4.75	5.52	5.96	0.95	云	理工
98	西南财经大学	17.17	4.24	7.5	0.2	5.23	川	财经
99	中国石油大学(华东)	16.93	4.07	6.65	5.6	0.62	鲁	理工
100	长安大学	16.82	4.14	6.8	5.06	0.81	陕	理工
101	中国医科大学	16.58	4.64	4.58	7.23	0.13	辽	医药
102	南方医科大学	16.39	3.81	6.07	6.11	0.41	粤	医药
103	北京林业大学	16.36	4.04	5.79	4.93	1.6	京	林业
104	安徽大学	16.15	4.25	5.78	3.1	3.03	皖	综合
105	四川农业大学	16.13	3.85	5.6	5.96	0.72	川	农林
106	山东农业大学	16.12	3.81	5.39	6.46	0.47	鲁	农业
107	贵州大学	15.91	3.95	6.47	4.18	1.3	贵	综合
108	上海理工大学	15.83	4.19	5.18	4.41	2.05	沪	理工
109	重庆医科大学	15.81	4.2	4.66	6.69	0.26	渝	医药
110	东北林业大学	15.76	3.77	5.74	5.57	0.69	黑	林业
111	哈尔滨医科大学	15.22	3.73	6.07	5.23	0.2	黑	医药
112	河南师范大学	14.79	3.32	5.58	3.7	2.19	豫	师范
113	安徽师范大学	14.68	3.78	4.61	4	2.29	皖	师范
114	中国传媒大学	14.56	3.54	5.47	0.25	5.3	京	语文
115	中国石油大学(北京)	14.56	4.59	3.64	5.83	0.5	京	理工
116	太原理工大学	14.44	3.64	5.66	4.76	0.38	晋	理工
117	浙江理工大学	14.32	3.21	5.14	4.87	1.1	浙	理工
118	南京信息工程大学	14.24	3.12	5.18	4.14	1.8	苏	理工
119	青岛科技大学	14.16	3.12	5.15	5.5	0.39	鲁	理工
120	中国地质大学(北京)	14.1	4.21	3.53	5.87	0.49	京	理工
121	中央财经大学	14.07	3.47	5.23	0.32	5.05	京	财经
122	天津医科大学	14.05	3.7	4.31	5.94	0.12	津	医药
123	西北师范大学	13.99	4.12	3.52	3.76	2.59	甘	师范
124	浙江工商大学	13.99	3.19	4.9	1.92	3.98	浙	财经
125	深圳大学	13.87	3.14	5.78	2.51	2.44	粤	综合
126	东北财经大学	13.62	3.72	5.1	0.23	4.57	辽	财经
127	对外经济贸易大学	13.52	3.16	5.56	0.1	4.69	京	财经
128	中国政法大学	13.13	3.64	4.78	0	4.71	京	政法
129	山东师范大学	12.94	3.36	4.92	2.54	2.13	鲁	师范
130	南京邮电大学	12.89	2.96	5.11	4.1	0.72	苏	理工
131	广东工业大学	12.87	2.25	7.2	2.59	0.83	粤	理工
132	新疆大学	12.81	3.03	5.22	3.02	1.54	新	综合
133	四川师范大学	12.56	2.59	5.77	1.7	2.51	川	师范
134	济南大学	12.44	2.2	5.6	3.69	0.95	鲁	综合
135	山东科技大学	12.43	2.75	5.6	3.56	0.51	鲁	理工
136	天津师范大学	12.41	2.77	5.25	1.98	2.4	津	师范
137	西安理工大学	12.3	3.16	5.09	3.09	0.96	陕	理工
138	东北农业大学	12.23	2.79	5.08	3.9	0.46	黑	农业
139	中央民族大学	12.19	3.1	4.12	1.9	3.08	京	民族
140	南通大学	12.12	2.49	4.62	3.76	1.26	苏	综合
141	华侨大学	11.99	2.83	4.31	3.02	1.84	闽	综合
142	温州医科大学	11.89	2.84	3.91	4.87	0.27	浙	医药
143	中北大学	11.74	2.44	5.45	3.55	0.3	晋	理工
144	辽宁大学	11.74	3.45	4.37	1.4	2.51	辽	综合
145	江苏师范大学	11.59	2.62	3.91	2.26	2.8	苏	师范
146	哈尔滨师范大学	11.47	2.81	4.4	1.99	2.28	黑	师范
147	沈阳药科大学	11.44	2.84	3.57	4.84	0.19	辽	医药
148	汕头大学	11.41	2.75	3.95	3.53	1.18	粤	综合
149	广东外语外贸大学	11.41	2.26	4.8	0.13	4.22	粤	语文
150	广西师范大学	11.3	2.96	4.47	2.29	1.58	桂	师范
151	杭州电子科技大学	11.27	2.05	5.07	3.46	0.69	浙	理工
152	南京林业大学	11.25	2.58	4.51	3.54	0.61	苏	林业
153	河北工业大学	11.21	3.17	3.91	3.63	0.5	冀	理工
154	广州大学	11.18	2.33	4.51	2.13	2.21	粤	综合
155	福建农林大学	11.16	2.46	4.73	3.09	0.89	闽	农业
156	河北师范大学	11.06	2.75	4.45	2.35	1.51	冀	师范
157	河北农业大学	11.04	2.57	3.8	4.27	0.4	冀	农业
158	长沙理工大学	11.04	2.4	5.01	2.49	1.15	湘	理工
159	西南政法大学	11	3.19	4.08	0	3.73	渝	政法
160	江西财经大学	11	2.51	4.84	0.27	3.38	赣	财经
161	大连海事大学	10.99	2.55	4.83	2.62	0.99	辽	理工
162	江西师范大学	10.9	2.62	4.48	2.05	1.75	赣	师范
163	杭州师范大学	10.87	2.34	4.02	2.7	1.81	浙	师范
164	成都理工大学	10.79	2.6	4.24	3.39	0.56	川	理工
165	安徽医科大学	10.72	2.87	3.21	4.33	0.31	皖	医药
166	武汉科技大学	10.62	2.08	5.52	2.51	0.51	鄂	理工
167	湖北大学	10.59	2.54	4.05	2.38	1.61	鄂	综合
168	河南科技大学	10.52	1.76	5.44	2.88	0.44	豫	理工
169	西安建筑科技大学	10.52	2.88	4.52	2.58	0.53	陕	理工
170	天津工业大学	10.5	2.05	5	2.96	0.49	津	理工
171	山东理工大学	10.49	1.63	5.18	2.64	1.04	鲁	理工
172	内蒙古大学	10.46	2.32	5.41	1.49	1.24	蒙	综合
173	陕西科技大学	10.43	2.2	4.15	3.79	0.29	陕	理工
174	河南理工大学	10.39	1.85	5.25	2.59	0.7	豫	理工
175	河南农业大学	10.24	2.05	4.46	3.31	0.41	豫	农业
176	河北医科大学	10.22	2.67	3.96	3.55	0.05	冀	医药
177	湖南农业大学	10.21	2.43	3.73	2.98	1.07	湘	农业
178	上海外国语大学	10.19	2.52	3.78	0	3.89	沪	语文
179	北京中医药大学	10.16	2.49	3.86	3.57	0.24	京	医药
180	石河子大学	10.13	2.02	4.97	2.24	0.9	新	综合
181	长春理工大学	9.98	2.38	4.39	2.87	0.33	吉	理工
182	聊城大学	9.81	1.85	3.96	2.62	1.38	鲁	综合
183	温州大学	9.78	1.59	3.4	3.1	1.69	浙	综合
184	南京中医药大学	9.76	2.14	4.23	3.07	0.33	苏	医药
185	北京外国语大学	9.73	2.2	4.12	0.01	3.4	京	语文
186	天津科技大学	9.69	1.95	4.59	2.72	0.43	津	理工
187	辽宁师范大学	9.65	2.98	2.83	2.19	1.65	辽	师范
188	湖南科技大学	9.55	1.68	4.73	1.73	1.42	湘	综合
189	中南民族大学	9.54	2.05	3.89	1.79	1.82	鄂	民族
190	华东政法大学	9.54	2.38	3.78	0.01	3.38	沪	政法
191	西南科技大学	9.28	1.67	4.43	2.59	0.59	川	理工
192	重庆邮电大学	9.2	1.65	4.77	2.14	0.64	渝	理工
193	中国矿业大学(北京)	9.12	2.96	2.35	3.54	0.27	京	理工
194	福建医科大学	8.99	2.11	3.79	2.95	0.14	闽	医药
195	哈尔滨理工大学	8.92	2.06	4.15	1.74	0.99	黑	理工
196	广州中医药大学	8.92	2.1	4.34	2.34	0.15	粤	医药
197	上海中医药大学	8.8	2.02	3.39	3.23	0.17	沪	医药
198	兰州理工大学	8.71	2.21	3.33	2.86	0.32	甘	理工
199	山东财经大学	8.66	1.47	4.44	0.33	2.42	鲁	财经
200	烟台大学	8.61	1.65	3.6	1.95	1.41	鲁	综合
